date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:03:52	2134/2134	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2013:52:51%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/android-icon-72x72.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/android-icon-72x72.png	(from https://www.topnotchdezigns.com/)
03:03:52	1574/1574	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Apr%202023%2013:53:06%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-57x57.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/apple-icon-57x57.png	(from https://www.topnotchdezigns.com/)
03:03:52	426/426	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:54:14%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/android-icon-36x36.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/favicon/android-icon-36x36.png	(from https://www.topnotchdezigns.com/)
03:03:52	761065/761065	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Aug%202017%2010:32:00%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/js/phaser.min.js	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/js/phaser.min.js	(from https://www.topnotchdezigns.com/)
03:03:53	13819/13819	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/slick.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/wp-content/themes/topnotch-child/css/slick5c71.css	(from https://www.topnotchdezigns.com/)
03:03:53	30993/30993	---MCZ	200	added ('OK')	text/css	date:Sat,%2012%20Aug%202023%2007:12:25%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/ui/1.12.1/themes/base/jquery-ui.css?ver=1691824345	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/ui/1.12.1/themes/base/jquery-ui5c71.css	(from https://www.topnotchdezigns.com/)
03:03:53	253659/253659	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Aug%202023%2007:12:26%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/ui/1.12.1/jquery-ui.min.js?ver=1691824346	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/ui/1.12.1/jquery-ui.min1f91.js	(from https://www.topnotchdezigns.com/)
03:03:53	1290/1290	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2012%20Aug%202023%2007:12:26%20GMT	https://www.topnotchdezigns.com/wp-content/cache/min/1/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min.js?ver=1691824346	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/cache/min/1/ajax/libs/jqueryui-touch-punch/0.2.3/jquery.ui.touch-punch.min1f91.js	(from https://www.topnotchdezigns.com/)
03:03:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2014%20Aug%202023%2000:03:53%20GMT	http://platform-api.sharethis.com/js/sharethis.js	C:/Users/Ahmad%20Jorban/Pictures/my%20website/platform-api.sharethis.com/js/sharethis.2a.delayed	(from https://www.topnotchdezigns.com/)
03:03:55	207414/207414	---MCZ	200	added ('OK')	text/javascript	etag:W/%2232a36-40XB9TFKL290b/MnE4xfx5SGfVQ%22	https://platform-api.sharethis.com/js/sharethis.js	C:/Users/Ahmad%20Jorban/Pictures/my%20website/platform-api.sharethis.com/js/sharethis.js	(from https://www.topnotchdezigns.com/)
03:03:55	4684/4684	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:53:13%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/logo.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/logo.png	(from https://www.topnotchdezigns.com/)
03:03:55	34440/34440	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:03%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/bubbe47.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/bubbe47.png	(from https://www.topnotchdezigns.com/)
03:03:55	12034/12034	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:50%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/bubbe48.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/bubbe48.png	(from https://www.topnotchdezigns.com/)
03:03:56	10726/10726	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:42%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/bubbe49.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/bubbe49.png	(from https://www.topnotchdezigns.com/)
03:03:56	1818/1818	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:51%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/drawing-pen.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/drawing-pen.png	(from https://www.topnotchdezigns.com/)
03:03:56	99774/99774	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2022:26:57%20GMT	https://www.topnotchdezigns.com/case-studies/	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/case-studies/index.html	(from https://www.topnotchdezigns.com/)
03:03:56	2114/2114	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:17%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/photoshop.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/photoshop.png	(from https://www.topnotchdezigns.com/)
03:03:57	20438/20438	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:19%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/light-1.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/light-1.png	(from https://www.topnotchdezigns.com/)
03:03:57	42486/42486	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:23%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/light-shadow.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/light-shadow.png	(from https://www.topnotchdezigns.com/)
03:03:58	111338/111338	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2022:26:38%20GMT	https://www.topnotchdezigns.com/about-us/	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/about-us/index.html	(from https://www.topnotchdezigns.com/)
03:03:58	6434/6434	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:34%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/drawing-pad.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/drawing-pad.png	(from https://www.topnotchdezigns.com/)
03:03:58	2840/2840	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:40%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/dimond.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/dimond.png	(from https://www.topnotchdezigns.com/)
03:03:58	101120/101120	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2023:18:02%20GMT	https://www.topnotchdezigns.com/branding-agency/	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/branding-agency/index.html	(from https://www.topnotchdezigns.com/)
03:03:59	3340/3340	---M--	200	added ('OK')	image/webp	date:Sun,%2009%20Apr%202023%2001:51:39%20GMT	https://www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/illustrator.png	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/wp-content/themes/topnotch-child/images/home/illustrator.png	(from https://www.topnotchdezigns.com/)
03:03:59	108088/108088	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2022:23:01%20GMT	https://www.topnotchdezigns.com/web-design-company/	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/web-design-company/index.html	(from https://www.topnotchdezigns.com/)
03:04:00	102771/102771	---MCZ	200	added ('OK')	text/html	date:Sun,%2013%20Aug%202023%2022:26:52%20GMT	https://www.topnotchdezigns.com/ecommerce-website-development/	C:/Users/Ahmad%20Jorban/Pictures/my%20website/www.topnotchdezigns.com/ecommerce-website-development/index.html	(from https://www.topnotchdezigns.com/)
